# z  nz0_0 nz1_0 nz2_0 nz3_0 nz4_0
3.165829145728643046e-01 3.479732712369667080e+00 8.347624381848221808e-02 1.239728301639330375e-05 4.220392375724850486e-11 7.494573034284220673e-19
3.316582914572864249e-01 3.566117216325451977e+00 1.347727886702476674e-01 2.808404719443375949e-05 1.171930277918554580e-10 2.311405588467999036e-18
3.467336683417085452e-01 3.608643878260029858e+00 2.097496542684709753e-01 6.175026445742816156e-05 3.181814071128152586e-10 7.017068557625047459e-18
3.618090452261306655e-01 3.604058358636875070e+00 3.148552771992574328e-01 1.317946079770949573e-04 8.446538640975537330e-10 2.096942724904302052e-17
3.768844221105527303e-01 3.548517915961690861e+00 4.561609687358841314e-01 2.730696033868928291e-04 2.192406700296222542e-09 6.168361541936126839e-17
3.919597989949748507e-01 3.438788684129506112e+00 6.383368716544094434e-01 5.492967753029512953e-04 5.564291181544209623e-09 1.786103905586041769e-16
4.070351758793969710e-01 3.273635069217375904e+00 8.635330708852806403e-01 1.072862672394304679e-03 1.380872554492155355e-08 5.090947770238562611e-16
4.221105527638190913e-01 3.055059497352230036e+00 1.130388567048077109e+00 2.034861831467706973e-03 3.350901720748647226e-08 1.428390967426412439e-15
4.371859296482412116e-01 2.789077603722796894e+00 1.433417075442177335e+00 3.748307659899826824e-03 7.951410691988163923e-08 3.945061076618352937e-15
4.522613065326632764e-01 2.485801279285408505e+00 1.762974011896419446e+00 6.706671972558670737e-03 1.845066138532839691e-07 1.072556906472855516e-14
4.673366834170853967e-01 2.158746299910086819e+00 2.105893429157501995e+00 1.165787664801984196e-02 4.186746539067028918e-07 2.870442663642084174e-14
4.824120603015075170e-01 1.823458865855929423e+00 2.446724687244568042e+00 1.969016503276850572e-02 9.290755655755146411e-07 7.562082792543119981e-14
4.974874371859296374e-01 1.495721950049785365e+00 2.769344931573702873e+00 3.232084431733551338e-02 2.016270164447774492e-06 1.961102342524751778e-13
5.125628140703517577e-01 1.189707318120076351e+00 3.058627181150740171e+00 5.157219057314802596e-02 4.279416126763751295e-06 5.006425945300029017e-13
5.276381909547738225e-01 9.164471229228267068e-01 3.301839468631323271e+00 8.001209135772141545e-02 8.883302111321719066e-06 1.258133267482038831e-12
5.427135678391959983e-01 6.829066961491438992e-01 3.489539799814355359e+00 1.207323066693246905e-01 1.803581619494745321e-05 3.112430017033690406e-12
5.577889447236180631e-01 4.917788363081440073e-01 3.615882451151421151e+00 1.772371023699994275e-01 3.581685241459030619e-05 7.579658238706130942e-12
5.728643216080401279e-01 3.419428651419295639e-01 3.678410203339495865e+00 2.532218367759671018e-01 6.957443252486433512e-05 1.817104549343701617e-11
5.879396984924623037e-01 2.293929193684408341e-01 3.677522077088475783e+00 3.522361335855210829e-01 1.322040358115255624e-04 4.288385960368887330e-11
6.030150753768843686e-01 1.483739587631934254e-01 3.615845039267307826e+00 4.772487344052923630e-01 2.457517492334283359e-04 9.963113849634979801e-11
6.180904522613065444e-01 9.247635369902601488e-02 3.497699258918955945e+00 6.301574881506130099e-01 4.469218598631706551e-04 2.278701584675546499e-10
6.331658291457286092e-01 5.551036649724257199e-02 3.328755059880359024e+00 8.113122140918952452e-01 7.952033788051710104e-04 5.130681495013851397e-10
6.482412060301506740e-01 3.207669934034918652e-02 3.115874924331767826e+00 1.019133112005606634e+00 1.384419296760382341e-03 1.137266550145156217e-09
6.633165829145728498e-01 1.783620051380329502e-02 2.867052896192197053e+00 1.249906536410212876e+00 2.358489420312784648e-03 2.481725460723423120e-09
6.783919597989949146e-01 9.540189401311471168e-03 2.591329370253125486e+00 1.497820024861752364e+00 3.932007473010962380e-03 5.331561397599889310e-09
6.934673366834170904e-01 4.906996852304410482e-03 2.298575236909399244e+00 1.755261160564850043e+00 6.415782878642985708e-03 1.127637643497722341e-08
7.085427135678391553e-01 2.426363141869644462e-03 1.999092740513547906e+00 2.013357202432575654e+00 1.024671520334422166e-02 2.348036199366741499e-08
7.236180904522613311e-01 1.153100440452410006e-03 1.703048843546382862e+00 2.262685410723237034e+00 1.602022173673985431e-02 4.813556148687191498e-08
7.386934673366833959e-01 5.265639873498180815e-04 1.419817108223940583e+00 2.494049564360011573e+00 2.452196714294950855e-02 9.715377249425935951e-08
7.537688442211054607e-01 2.310037580809670298e-04 1.157338910947767197e+00 2.699205565923429084e+00 3.675399658493697097e-02 1.930600521952111699e-07
